11/2017;    2.82
12/2017;    3.94
01/2018;    3.42
02/2018;    2.72
03/2018;    0.61
04/2018;    0.95
05/2018;    2.30
06/2018;    4.05
07/2018;    2.64
08/2018;    1.64
09/2018;    2.82
10/2018;    1.95
11/2018;    3.09
12/2018;    3.38
01/2019;    4.48
02/2019;    4.65
03/2019;    1.33
04/2019;    1.62
05/2019;    4.59
06/2019;    3.93
07/2019;    2.92
08/2019;    1.91
09/2019;    2.89
10/2019;    1.91
11/2019;    1.19
12/2019;    1.97
01/2020;    4.67
02/2020;    4.91
03/2020;    1.78
04/2020;    1.28
05/2020;    1.39
06/2020;    3.95
07/2020;    2.85
08/2020;    1.83
09/2020;    2.98
10/2020;    1.79
11/2020;    1.22
12/2020;    2.39
01/2021;    4.51
02/2021;    4.87
03/2021;    1.66
04/2021;    1.00
05/2021;    2.08
06/2021;    3.90
07/2021;    2.79
08/2021;    1.81
09/2021;    2.93
10/2021;    2.00
11/2021;    1.00
12/2021;    2.49
01/2022;    4.63
02/2022;    4.86
03/2022;    1.43
04/2022;    0.95
05/2022;    2.16
06/2022;    3.90
07/2022;    2.71
08/2022;    1.86
09/2022;    2.90
10/2022;    2.00
11/2022;    1.56
12/2022;    1.67
01/2023;    4.75
02/2023;    4.97
03/2023;    1.54
04/2023;    0.99
